NodeIndex;Longitude;Latitude
1;-1.94663136977757;52.5509534112562
2;-1.86500550968166;52.5116583386
3;-1.72923159404293;52.5077505695241
4;-1.80934737177336;52.3490169170838
5;-2.0553495950521;52.3622649149397
6;-2.06886440115263;52.6634229683154
7;-2.50508517279328;53.3550694720777
8;-2.51066210967295;53.3984943255452
9;-2.38348973293185;53.3638637342421
10;-2.28382173243335;53.4802963995372
11;-2.3794315059821;53.491331787101
12;-2.26078476572932;53.5499460825507
13;-2.13721671340694;53.4211458078826
14;-2.25931995038671;53.3860926717967
15;-2.0161636049988;53.6301019693539
16;-1.51399236103514;53.7374268788865
17;-1.3410904444468;53.8336312564322
18;-1.2785600667959;53.7022753338581
19;-1.27989996156857;53.392730466411
20;-1.30072503348635;52.858715487244
21;-1.31347437218404;52.0727177033802
22;-1.17582024067603;52.4015256934539
23;-0.379280244110379;51.7128515185263
24;0.124771425159553;51.6791946703834
25;0.239206793080978;51.4301445596838
26;0.143314338852868;51.2927520257513
27;-0.450435862272529;51.3221124820809
28;-0.494597661426301;51.4947289940736
29;-0.519802689214118;51.5605887294125
30;-0.311751788460407;51.4920806542156
