NodeIndex;Longitude;Latitude
1;-1.94663136977757;52.5509534112562
2;-1.86500550968166;52.5116583386
3;-1.72923159404293;52.5077505695241
4;-1.71029417771701;52.4452304950099
5;-1.74955763155858;52.4050088213885
6;-1.78656075777219;52.3794551893258
7;-1.80934737177336;52.3490169170838
8;-1.88567170849426;52.3548786650147
9;-1.94902672719016;52.3617072719008
10;-2.0553495950521;52.3622649149397
11;-2.01802419805103;52.4292920893945
12;-1.99564744250857;52.4844127760207
13;-2.06886440115263;52.6634229683154
14;-2.49826187071207;53.3515861570171
15;-2.51066210967295;53.3984943255452
16;-2.38348973293185;53.3638637342421
17;-2.28382173243335;53.4802963995372
18;-2.3794315059821;53.491331787101
19;-2.35962834741011;53.5241011545608
20;-2.26078476572932;53.5499460825507
21;-2.14093852947113;53.4848741865128
22;-2.13721671340694;53.4211458078826
23;-2.25931995038671;53.3860926717967
24;-2.26495780044704;53.4134827083253
25;-2.33962604272402;53.4580125252751
26;-2.15951373713557;53.584765761844
27;-2.0161636049988;53.6301019693539
28;-1.75250476819366;53.6954585587136
29;-1.6401077522149;53.7467440998791
30;-1.51399236103514;53.7374268788865
31;-1.48070282972418;53.7692044554877
32;-1.34155786242662;53.8362466020916
33;-1.28246228270608;53.7632264773669
34;-1.2785600667959;53.7022753338581
35;-1.39554605687405;53.7086907556404
36;-1.52951395606745;53.6498422602378
37;-1.51587705763567;53.5479744719545
38;-1.44559303829788;53.455502652713
39;-1.27989996156857;53.392730466411
40;-1.33069572154976;53.2461166246455
41;-1.26910954020911;53.0634257498016
42;-1.30072503348635;52.858715487244
43;-1.548251598114;52.68930247865
44;-1.64200707601952;52.6031567373977
45;-1.56086919050038;52.2458800550847
46;-1.31347437218404;52.0727177033802
47;-1.09366201741949;51.738690330882
48;-0.627729975378211;51.594363569035
49;-1.27405786028357;52.7603080863397
50;-1.2243618073903;52.5998952226388
51;-1.17582024067603;52.4015256934539
52;-0.944327988866968;52.2095682637241
53;-0.517740361234117;51.9590699418225
54;-0.413747039018537;51.7557761959599
55;-0.228510880825154;51.5727992869297
56;-0.303159519762044;51.6348474222999
57;-0.379280244110379;51.7128515185263
58;-0.228672146359047;51.6868620019435
59;-0.0498007889016955;51.6829358620589
60;0.124771425159553;51.6791946703834
61;0.285060107528771;51.5728256809354
62;0.239206793080978;51.4301445596838
63;0.195424136828132;51.3887480183173
64;0.143314338852868;51.2927520257513
65;-0.127790654505472;51.2638093102141
66;-0.326590854829316;51.3091234302358
67;-0.450435862272529;51.3221124820809
68;-0.537555773039533;51.4004878282222
69;-0.494597661426301;51.4947289940736
70;-0.519802689214118;51.5605887294125
71;-0.502258307910719;51.6473519004271
72;-0.400478917262667;51.4900772510807
73;-0.311751788460407;51.4920806542156
